event_id,customer_id,event_date,event_type,feature_name
cd545d60,CUST-0001,2024-01-24,upgrade_viewed,automation
03cad06a,CUST-0001,2024-03-16,support_ticket,analytics
30ae8655,CUST-0001,2024-02-22,login,export
bb242371,CUST-0001,2024-03-03,upgrade_viewed,dashboard
508dbef0,CUST-0001,2023-12-29,feature_use,dashboard
f6107721,CUST-0001,2023-11-30,export,automation
bc1186bb,CUST-0001,2023-11-27,export,api_access
9e5ffb6e,CUST-0001,2023-11-06,export,export
7272c96f,CUST-0001,2024-02-08,export,dashboard
853748d6,CUST-0001,2024-01-06,export,reporting
bd697635,CUST-0001,2024-03-03,feature_use,api_access
3a50e594,CUST-0001,2023-11-17,upgrade_viewed,api_access
03f3f1e4,CUST-0001,2024-03-11,export,export
a7896a9f,CUST-0001,2024-01-09,export,export
75b9485a,CUST-0001,2023-11-17,upgrade_viewed,export
ab856431,CUST-0001,2023-11-29,login,api_access
e081269e,CUST-0001,2024-03-04,export,export
b0b925a9,CUST-0001,2024-02-25,support_ticket,export
a825104a,CUST-0001,2023-12-04,login,integrations
b67f1b4e,CUST-0001,2023-12-02,upgrade_viewed,integrations
7e2fe53e,CUST-0001,2023-12-11,upgrade_viewed,reporting
5d1d18cb,CUST-0001,2024-02-07,support_ticket,reporting
c3d3af01,CUST-0001,2023-11-22,feature_use,dashboard
ef0a91a8,CUST-0001,2024-02-23,export,analytics
486dcc4a,CUST-0002,2023-11-01,feature_use,automation
254b47e6,CUST-0002,2023-12-12,export,api_access
7af74419,CUST-0002,2023-10-17,login,reporting
f1aa14fd,CUST-0002,2023-09-26,feature_use,api_access
0668589e,CUST-0002,2023-09-28,export,api_access
4e1d1eb1,CUST-0002,2023-09-23,feature_use,reporting
e0cff143,CUST-0002,2023-11-17,login,reporting
4af2bc0c,CUST-0002,2023-08-05,support_ticket,collaboration
9ab813b0,CUST-0002,2023-08-11,feature_use,reporting
3f7d012b,CUST-0002,2023-08-09,upgrade_viewed,dashboard
3c61ffbf,CUST-0002,2023-11-29,login,analytics
78f688aa,CUST-0002,2023-08-12,login,analytics
80266ed4,CUST-0002,2023-08-03,login,reporting
5e67feba,CUST-0002,2023-09-22,upgrade_viewed,integrations
1eb6c3fb,CUST-0002,2023-09-17,export,dashboard
4239b957,CUST-0002,2023-08-24,feature_use,analytics
d586d825,CUST-0002,2023-12-27,export,export
6db6cdc5,CUST-0002,2023-09-11,upgrade_viewed,integrations
e54a80f1,CUST-0002,2023-12-08,upgrade_viewed,reporting
a74daa63,CUST-0002,2023-08-26,upgrade_viewed,dashboard
7e91cd11,CUST-0002,2023-12-14,feature_use,integrations
2ce92f05,CUST-0002,2023-10-12,feature_use,dashboard
1e8a6c07,CUST-0002,2023-08-26,feature_use,automation
3fdbb97e,CUST-0002,2023-11-02,upgrade_viewed,api_access
ddf8856f,CUST-0002,2023-11-21,login,api_access
f6561d09,CUST-0002,2023-10-30,support_ticket,collaboration
c8b4501b,CUST-0002,2023-09-24,upgrade_viewed,integrations
761a4626,CUST-0002,2023-11-13,login,export
8a0c5c49,CUST-0002,2023-09-01,support_ticket,reporting
9b6ddb52,CUST-0002,2023-12-12,feature_use,automation
81cd3da2,CUST-0002,2023-11-01,export,dashboard
01c904d5,CUST-0002,2023-08-22,export,automation
89d51f46,CUST-0002,2023-08-30,support_ticket,analytics
9a3d4400,CUST-0002,2023-11-25,upgrade_viewed,analytics
2cdf5950,CUST-0002,2023-11-22,feature_use,collaboration
906bf365,CUST-0002,2023-10-14,support_ticket,integrations
f2e86f60,CUST-0002,2023-08-18,support_ticket,export
4217b09d,CUST-0002,2023-09-15,login,automation
c01589fb,CUST-0002,2023-08-27,support_ticket,automation
c3fdc33f,CUST-0002,2023-12-12,login,reporting
e8febc76,CUST-0002,2023-09-06,support_ticket,collaboration
e3e95fb4,CUST-0002,2023-08-27,feature_use,reporting
9f77d2a5,CUST-0002,2023-11-02,feature_use,export
d062daff,CUST-0002,2023-09-21,upgrade_viewed,collaboration
648eefe9,CUST-0002,2023-09-01,feature_use,collaboration
9c25ee75,CUST-0002,2023-12-06,export,analytics
a3c5fb4f,CUST-0002,2023-11-11,export,automation
0757c930,CUST-0002,2023-11-12,support_ticket,analytics
6fc98b4c,CUST-0002,2023-09-07,support_ticket,reporting
f0ce7038,CUST-0002,2023-09-01,export,automation
cf5be92b,CUST-0002,2023-12-06,feature_use,api_access
cdf0bd63,CUST-0002,2023-08-08,login,dashboard
8151f445,CUST-0002,2023-08-18,support_ticket,dashboard
a4293c7e,CUST-0002,2023-09-15,support_ticket,export
a707781f,CUST-0002,2023-09-09,export,reporting
4cef4a43,CUST-0002,2023-08-20,upgrade_viewed,automation
b8abc4b7,CUST-0002,2023-11-28,feature_use,analytics
853f4bba,CUST-0002,2023-12-06,support_ticket,analytics
013d8672,CUST-0002,2023-12-17,export,dashboard
9177d1f9,CUST-0002,2023-08-09,support_ticket,reporting
d61091d6,CUST-0002,2023-11-07,support_ticket,export
a9e07d29,CUST-0002,2023-11-05,support_ticket,automation
13c77bb6,CUST-0002,2023-08-10,login,api_access
96bf2ddb,CUST-0002,2023-12-21,export,api_access
eb19eaa4,CUST-0003,2024-06-13,feature_use,analytics
a8884c70,CUST-0003,2024-05-01,support_ticket,reporting
e2990331,CUST-0003,2024-11-01,support_ticket,automation
a5792703,CUST-0003,2024-07-29,upgrade_viewed,api_access
d4c08fce,CUST-0003,2024-08-29,login,collaboration
01d88a5b,CUST-0003,2023-12-24,support_ticket,collaboration
4418308c,CUST-0003,2024-12-20,export,analytics
bdf004ff,CUST-0003,2024-02-21,login,dashboard
2aadff49,CUST-0003,2024-11-23,login,api_access
93782547,CUST-0003,2024-04-08,export,dashboard
609cb008,CUST-0003,2024-12-29,export,collaboration
5f59d1a8,CUST-0003,2023-07-07,support_ticket,export
7cd3e425,CUST-0003,2024-03-29,support_ticket,export
448f14cb,CUST-0003,2023-05-26,feature_use,integrations
49e58524,CUST-0003,2023-11-25,export,reporting
7c21c656,CUST-0003,2023-06-05,export,reporting
e99aa4e5,CUST-0003,2024-03-09,feature_use,dashboard
5e8e0325,CUST-0003,2024-10-01,export,dashboard
57522c63,CUST-0003,2024-07-13,support_ticket,collaboration
edc5e550,CUST-0003,2023-12-28,login,automation
245674f8,CUST-0003,2024-11-21,login,export
c7475f4f,CUST-0003,2024-04-19,upgrade_viewed,collaboration
d4c3b1d1,CUST-0003,2024-02-23,upgrade_viewed,reporting
d4225995,CUST-0003,2024-08-11,login,integrations
e2885a6c,CUST-0003,2024-03-08,support_ticket,export
4b066821,CUST-0003,2023-09-16,upgrade_viewed,analytics
19cac93e,CUST-0003,2024-04-05,support_ticket,integrations
e370fc3a,CUST-0003,2024-08-19,login,integrations
26674c51,CUST-0003,2024-01-18,export,dashboard
f0b69076,CUST-0003,2024-01-28,upgrade_viewed,collaboration
0ac38693,CUST-0003,2023-11-16,upgrade_viewed,reporting
2e1e2c25,CUST-0003,2024-11-11,login,export
00e64cf0,CUST-0003,2024-01-03,login,automation
ce9ebc4b,CUST-0003,2024-06-09,feature_use,export
fbebf12d,CUST-0003,2023-06-16,export,analytics
d6d16661,CUST-0003,2024-06-15,upgrade_viewed,export
a0ca7278,CUST-0003,2023-10-20,support_ticket,collaboration
c8a662b4,CUST-0003,2023-12-12,upgrade_viewed,automation
61b71d23,CUST-0003,2024-10-10,feature_use,dashboard
8a8769ae,CUST-0003,2024-12-31,upgrade_viewed,api_access
82046ded,CUST-0003,2024-11-09,support_ticket,integrations
1c258b55,CUST-0003,2024-07-20,export,collaboration
18a8fa3b,CUST-0003,2024-10-29,login,integrations
3a72cdb1,CUST-0003,2024-04-06,support_ticket,api_access
dec8e1b5,CUST-0003,2023-12-01,feature_use,analytics
fd2f775c,CUST-0003,2024-06-17,support_ticket,export
76b83e71,CUST-0003,2023-06-03,feature_use,collaboration
7a28afeb,CUST-0003,2023-12-28,export,api_access
798db3a7,CUST-0003,2023-12-17,upgrade_viewed,integrations
96450517,CUST-0003,2024-05-18,feature_use,reporting
3f5c0f6d,CUST-0003,2023-08-30,feature_use,dashboard
bbce30c3,CUST-0004,2024-10-22,export,automation
4add0551,CUST-0004,2024-05-15,upgrade_viewed,collaboration
fb46970b,CUST-0004,2024-04-13,login,integrations
e288fb26,CUST-0004,2023-11-30,export,api_access
64e5b3e4,CUST-0004,2023-09-24,export,analytics
38f7a8cb,CUST-0004,2024-08-12,upgrade_viewed,api_access
3a058b59,CUST-0004,2024-08-04,login,automation
0396d06c,CUST-0004,2024-10-14,login,dashboard
49d48654,CUST-0004,2024-11-23,login,export
57dd0e18,CUST-0004,2024-07-14,export,reporting
522867fb,CUST-0004,2024-04-05,export,reporting
897fef08,CUST-0004,2024-03-31,feature_use,integrations
86aa5cb8,CUST-0004,2023-11-06,upgrade_viewed,reporting
4beba3b6,CUST-0004,2024-06-03,upgrade_viewed,analytics
eb980cc1,CUST-0004,2024-05-21,login,integrations
0d7dee06,CUST-0004,2024-07-13,login,export
1088fc2b,CUST-0004,2024-02-25,upgrade_viewed,collaboration
7ae47d42,CUST-0004,2024-10-26,feature_use,collaboration
3c7a1ea9,CUST-0004,2023-12-30,feature_use,reporting
f53156a1,CUST-0004,2023-12-08,feature_use,analytics
9dc8d08f,CUST-0004,2024-04-22,support_ticket,analytics
0421349b,CUST-0004,2024-11-24,upgrade_viewed,dashboard
13b5936f,CUST-0004,2024-05-18,upgrade_viewed,export
6c1bad37,CUST-0004,2024-09-02,login,export
12dbd4be,CUST-0004,2024-06-15,support_ticket,automation
dac2d437,CUST-0004,2024-08-24,feature_use,analytics
166365e8,CUST-0004,2024-10-15,feature_use,export
c5b99cdd,CUST-0004,2024-05-10,export,analytics
175647af,CUST-0004,2023-09-20,upgrade_viewed,dashboard
555e5489,CUST-0004,2024-11-13,login,integrations
b29de8a0,CUST-0004,2024-01-17,upgrade_viewed,collaboration
5e25b8c1,CUST-0004,2024-02-15,export,reporting
b2f6bae1,CUST-0004,2024-06-09,feature_use,automation
8719e65c,CUST-0004,2024-03-26,login,collaboration
5a29568a,CUST-0004,2024-01-18,export,reporting
615b0a92,CUST-0005,2023-10-25,feature_use,api_access
aa32af1c,CUST-0005,2023-11-12,export,collaboration
83fc8692,CUST-0005,2023-09-21,export,reporting
cd47046b,CUST-0005,2023-11-18,support_ticket,collaboration
3f0d386a,CUST-0005,2023-10-29,support_ticket,reporting
2d1d62c0,CUST-0005,2023-10-07,export,reporting
dcb12714,CUST-0005,2023-11-01,support_ticket,export
5040d6a2,CUST-0005,2023-11-14,login,dashboard
8da032c1,CUST-0005,2023-12-08,feature_use,automation
01e5adff,CUST-0005,2023-12-08,feature_use,dashboard
9ac9ef5e,CUST-0005,2023-11-07,feature_use,analytics
f58ff087,CUST-0005,2023-10-27,upgrade_viewed,reporting
e68cb796,CUST-0006,2024-04-22,feature_use,api_access
66023f3b,CUST-0006,2024-05-20,support_ticket,export
fa81d552,CUST-0006,2024-05-10,support_ticket,api_access
96b84fcf,CUST-0006,2024-04-28,feature_use,export
9162043b,CUST-0006,2024-04-30,feature_use,reporting
d67e281b,CUST-0006,2024-05-08,export,api_access
81db40e5,CUST-0006,2024-05-07,support_ticket,integrations
d940e290,CUST-0006,2024-04-13,login,integrations
52bec5d6,CUST-0007,2023-11-11,support_ticket,integrations
b1e6c63f,CUST-0007,2024-02-08,feature_use,dashboard
00049be0,CUST-0007,2024-04-19,upgrade_viewed,collaboration
0d583c99,CUST-0007,2024-07-30,export,api_access
7990d4ae,CUST-0007,2023-11-11,export,api_access
61e5d5dc,CUST-0007,2024-07-13,login,dashboard
30bc21c0,CUST-0007,2024-09-28,upgrade_viewed,collaboration
57281672,CUST-0007,2024-10-26,support_ticket,automation
79555b32,CUST-0007,2023-11-26,feature_use,integrations
8a05f8af,CUST-0007,2024-01-02,export,analytics
a60a2c89,CUST-0007,2024-10-13,support_ticket,collaboration
916db837,CUST-0007,2023-12-02,support_ticket,integrations
ba9e0af0,CUST-0007,2024-07-30,feature_use,analytics
030e021b,CUST-0007,2024-10-03,feature_use,collaboration
09ed790d,CUST-0007,2023-12-28,support_ticket,api_access
ecfa87d5,CUST-0007,2023-10-11,export,analytics
3c83fb82,CUST-0007,2024-01-25,upgrade_viewed,automation
db65f685,CUST-0007,2024-02-01,export,automation
200e96bc,CUST-0007,2023-11-09,login,automation
dc2cb069,CUST-0007,2023-12-04,export,collaboration
3460c613,CUST-0007,2024-09-12,feature_use,collaboration
45e45dc4,CUST-0007,2024-09-23,support_ticket,analytics
6977281e,CUST-0007,2023-11-03,login,dashboard
5e2bd509,CUST-0007,2023-10-23,export,integrations
60187c31,CUST-0007,2024-05-25,export,dashboard
e7c3f1ba,CUST-0007,2023-09-29,export,collaboration
5882efe4,CUST-0007,2024-02-28,support_ticket,export
1b65f90c,CUST-0007,2023-12-03,upgrade_viewed,dashboard
88fdf3d6,CUST-0007,2024-07-20,feature_use,analytics
6d4e49e4,CUST-0007,2023-12-22,upgrade_viewed,automation
f2e1a3ce,CUST-0007,2024-03-18,support_ticket,api_access
379ce47b,CUST-0007,2023-11-11,export,collaboration
27a64ef8,CUST-0007,2023-12-08,export,reporting
3999cdb8,CUST-0007,2024-03-05,login,api_access
356a4728,CUST-0007,2024-06-08,export,export
74927d9d,CUST-0007,2024-05-04,export,analytics
caf4bbcc,CUST-0007,2024-08-05,export,export
f7017fba,CUST-0007,2024-05-07,feature_use,export
550305ec,CUST-0007,2024-10-08,support_ticket,api_access
f38eabd3,CUST-0007,2024-07-07,support_ticket,dashboard
123a1c5b,CUST-0007,2024-01-01,feature_use,dashboard
2ae074c6,CUST-0007,2024-01-22,feature_use,dashboard
0009cbc8,CUST-0007,2024-05-24,export,api_access
e4fd3552,CUST-0007,2024-09-22,support_ticket,collaboration
ba92624e,CUST-0007,2023-11-25,support_ticket,dashboard
e406bec3,CUST-0007,2024-05-10,export,automation
3074cc58,CUST-0007,2024-05-18,support_ticket,reporting
ee663c5d,CUST-0007,2024-12-03,feature_use,reporting
b80f7bcc,CUST-0007,2024-03-23,login,integrations
c0a3cb3e,CUST-0007,2024-12-14,export,api_access
0bbee27d,CUST-0007,2024-11-27,feature_use,analytics
d6d5ee41,CUST-0007,2024-07-11,upgrade_viewed,integrations
9b3a09ac,CUST-0007,2024-07-21,login,api_access
7cc6d26c,CUST-0007,2024-04-27,login,integrations
4661526c,CUST-0007,2024-10-24,support_ticket,reporting
97b755a7,CUST-0007,2024-12-24,export,dashboard
572b1de7,CUST-0007,2024-02-19,login,collaboration
2bc618ae,CUST-0007,2024-04-05,upgrade_viewed,reporting
7b5c5498,CUST-0007,2024-11-28,export,api_access
46c8a861,CUST-0007,2023-10-11,login,automation
c57d99da,CUST-0007,2024-11-25,support_ticket,automation
9cfa1281,CUST-0007,2024-08-13,export,dashboard
7f645527,CUST-0007,2024-03-13,login,automation
001ed959,CUST-0007,2024-03-11,upgrade_viewed,api_access
e5da872b,CUST-0007,2024-01-13,login,analytics
f15a6f35,CUST-0007,2024-03-10,login,reporting
af85db82,CUST-0007,2024-07-03,upgrade_viewed,collaboration
047988f0,CUST-0007,2023-11-13,support_ticket,analytics
08a295c7,CUST-0007,2023-12-27,feature_use,collaboration
452eb847,CUST-0007,2023-11-11,login,integrations
c1c5fee5,CUST-0007,2023-12-19,support_ticket,collaboration
e646cd6c,CUST-0007,2024-02-19,feature_use,reporting
bba5db75,CUST-0007,2024-02-26,support_ticket,collaboration
4a1dd606,CUST-0007,2024-10-07,export,api_access
944d5379,CUST-0007,2024-03-28,login,export
f3c511ac,CUST-0007,2024-06-15,feature_use,automation
3de8125b,CUST-0007,2024-05-12,support_ticket,automation
937fc5bc,CUST-0007,2024-02-11,upgrade_viewed,collaboration
5613bd9c,CUST-0008,2024-01-07,export,api_access
4f58ab2b,CUST-0008,2024-01-13,support_ticket,reporting
5d6144c5,CUST-0008,2023-06-25,upgrade_viewed,export
ff8be60f,CUST-0008,2024-01-28,feature_use,api_access
f33dbec6,CUST-0008,2024-02-13,upgrade_viewed,reporting
97177bdc,CUST-0008,2023-10-31,support_ticket,collaboration
79ea41e6,CUST-0008,2023-07-15,support_ticket,analytics
5179394a,CUST-0008,2023-08-20,feature_use,analytics
afaca010,CUST-0008,2023-10-10,upgrade_viewed,collaboration
c6db0e86,CUST-0008,2023-11-03,upgrade_viewed,dashboard
526aa889,CUST-0008,2023-07-14,login,reporting
e994b2bf,CUST-0008,2024-02-21,support_ticket,collaboration
fb26ea9f,CUST-0008,2023-07-23,support_ticket,analytics
2f5c75bb,CUST-0008,2023-12-03,export,reporting
58ab5d55,CUST-0008,2024-02-17,login,reporting
cbd90131,CUST-0008,2024-01-27,feature_use,api_access
11930837,CUST-0008,2023-12-23,login,reporting
554d859f,CUST-0008,2024-01-04,export,export
54c3397c,CUST-0008,2024-01-23,support_ticket,analytics
09405ad9,CUST-0008,2023-11-26,feature_use,integrations
7393c55a,CUST-0008,2023-09-07,login,analytics
fcf04240,CUST-0008,2023-07-29,support_ticket,dashboard
46e0e5cc,CUST-0008,2023-06-07,support_ticket,reporting
c864d0d4,CUST-0008,2023-06-11,feature_use,automation
f5eca2bd,CUST-0008,2024-01-26,support_ticket,automation
3d3d7532,CUST-0009,2024-12-30,export,collaboration
1b3b2ce0,CUST-0009,2024-10-11,login,api_access
ed577272,CUST-0009,2024-08-29,login,integrations
87b64b93,CUST-0009,2024-08-23,login,integrations
0dfca463,CUST-0009,2024-08-01,feature_use,automation
694ba831,CUST-0009,2024-09-01,feature_use,collaboration
1e73ac27,CUST-0009,2024-12-10,feature_use,reporting
47c20f02,CUST-0009,2024-10-11,support_ticket,api_access
bf45bd0e,CUST-0009,2024-11-24,support_ticket,dashboard
6fa87364,CUST-0009,2024-08-24,feature_use,api_access
d708c859,CUST-0009,2024-11-16,support_ticket,automation
eb1effa4,CUST-0009,2024-07-31,support_ticket,integrations
996bf023,CUST-0009,2024-09-15,export,collaboration
01808b4c,CUST-0009,2024-08-08,export,dashboard
d9177777,CUST-0009,2024-08-21,support_ticket,collaboration
ff75dabb,CUST-0009,2024-11-29,upgrade_viewed,analytics
afd8c62f,CUST-0009,2024-08-04,support_ticket,collaboration
5576ecab,CUST-0009,2024-11-27,upgrade_viewed,automation
ee2bff06,CUST-0009,2024-09-23,login,dashboard
1c7c5f77,CUST-0009,2024-11-11,upgrade_viewed,export
1df955e3,CUST-0009,2024-12-14,login,analytics
9508b808,CUST-0009,2024-11-09,support_ticket,reporting
1c43a25b,CUST-0009,2024-11-29,upgrade_viewed,export
652906ed,CUST-0009,2024-11-17,support_ticket,dashboard
8634d33e,CUST-0009,2024-09-05,export,integrations
6030e696,CUST-0009,2024-11-23,export,automation
9ad8c221,CUST-0009,2024-09-23,upgrade_viewed,integrations
085b7a67,CUST-0009,2024-12-23,export,automation
62a77173,CUST-0009,2024-08-28,export,collaboration
ccbb7290,CUST-0009,2024-11-09,export,automation
426b5807,CUST-0009,2024-09-05,upgrade_viewed,integrations
324a622e,CUST-0009,2024-10-06,login,automation
5dcdf2a8,CUST-0009,2024-08-28,feature_use,integrations
8b3b5ba2,CUST-0009,2024-09-04,upgrade_viewed,automation
fd92802c,CUST-0009,2024-08-20,support_ticket,automation
892a8113,CUST-0009,2024-10-11,feature_use,integrations
b0968f35,CUST-0009,2024-12-15,login,dashboard
d7663afc,CUST-0009,2024-10-25,export,export
58be5c3b,CUST-0009,2024-09-04,feature_use,dashboard
d7b06890,CUST-0009,2024-08-11,export,collaboration
c5887c95,CUST-0009,2024-08-24,upgrade_viewed,integrations
5408c5ee,CUST-0009,2024-08-25,upgrade_viewed,integrations
03c4c357,CUST-0009,2024-11-27,export,export
79593b94,CUST-0009,2024-10-24,login,analytics
13ddaa45,CUST-0009,2024-09-02,upgrade_viewed,reporting
ac091bb5,CUST-0009,2024-08-07,support_ticket,automation
259646e5,CUST-0009,2024-08-23,login,reporting
6b4e09f5,CUST-0009,2024-12-16,login,reporting
8dcd2ca2,CUST-0009,2024-09-06,login,integrations
a8238b1a,CUST-0009,2024-10-26,feature_use,analytics
c1b656c9,CUST-0009,2024-11-16,upgrade_viewed,automation
3da6fe54,CUST-0009,2024-08-20,feature_use,export
2ecdbb24,CUST-0009,2024-10-19,feature_use,reporting
8d8ac757,CUST-0009,2024-09-15,support_ticket,collaboration
4fa58d7e,CUST-0009,2024-07-27,feature_use,automation
1a260699,CUST-0009,2024-10-21,export,api_access
3f20912e,CUST-0009,2024-08-16,export,export
2b07d512,CUST-0009,2024-11-09,export,integrations
05a1f4d2,CUST-0009,2024-09-02,upgrade_viewed,collaboration
36bfe071,CUST-0009,2024-09-22,feature_use,collaboration
9c11d71d,CUST-0009,2024-11-08,support_ticket,automation
b9c61262,CUST-0009,2024-12-05,export,dashboard
750bce74,CUST-0009,2024-11-16,feature_use,dashboard
a3076a0a,CUST-0009,2024-12-05,login,reporting
deaf8595,CUST-0009,2024-10-20,export,collaboration
75f4f947,CUST-0009,2024-09-06,support_ticket,dashboard
4248b13d,CUST-0009,2024-11-03,login,api_access
64907866,CUST-0009,2024-12-20,login,analytics
